Feature,Definition,CURIE,OMOP,A4,ABVIB,ADNI,AIBL,ANM,ARWIBO,BRACE,C-Surv,DOD-ADNI,EDSD,EMIF,EPAD,I-ADNI,JADNI,NACC,NEURO Cohort,OASIS,PREVENT-AD,PharmaCog,ROSMAP,VASCULAR,VITA,WMH-AD,AMED
Left Banks Of The Superior Temoral Sulcus Cortical Area,,,,,,ST13SA,,,lh_bankssts_area,,,ST13SA,lh_bankssts_area,,,lh_bankssts_area,lh_(bankssts)SurfArea,,,lh_bankssts_area,,lh_bankssts_area,,,lh_bankssts_area,lh_bankssts_area,
Left Caudal Anterior Cingulate Area,,,,,,ST14SA,,,lh_caudalanteriorcingulate_area,,,ST14SA,lh_caudalanteriorcingulate_area,,,lh_caudalanteriorcingulate_area,lh_(caudalanteriorcingulate)SurfArea,,,lh_caudalanteriorcingulate_area,,lh_caudalanteriorcingulate_area,,,lh_caudalanteriorcingulate_area,lh_caudalanteriorcingulate_area,
Left Caudal Anterior Cingulate Cortical Mean,,,,,,ST14CV,,,lh_caudalanteriorcingulate_volume,,,ST14CV,lh_caudalanteriorcingulate_volume,,,lh_caudalanteriorcingulate_volume,lh_(caudalanteriorcingulate)GrayVol,,,lh_caudalanteriorcingulate_volume,,lh_caudalanteriorcingulate_volume,,,lh_caudalanteriorcingulate_volume,lh_caudalanteriorcingulate_volume,
Left Caudal Middle Frontal Area,,,,,,ST15SA,,,lh_caudalmiddlefrontal_area,,,ST15SA,lh_caudalmiddlefrontal_area,,,lh_caudalmiddlefrontal_area,lh_(caudalmiddlefrontal)SurfArea,,,lh_caudalmiddlefrontal_area,,lh_caudalmiddlefrontal_area,,,lh_caudalmiddlefrontal_area,lh_caudalmiddlefrontal_area,
Left Cuneus Area,,,,,,ST23SA,,,lh_cuneus_area,,,ST23SA,lh_cuneus_area,,,lh_cuneus_area,lh_(cuneus)SurfArea,,,lh_cuneus_area,,lh_cuneus_area,,,lh_cuneus_area,lh_cuneus_area,
Left Entorhinal Area,,,,,,ST24SA,,,lh_entorhinal_area,,,ST24SA,lh_entorhinal_area,,,lh_entorhinal_area,lh_(entorhinal)SurfArea,,,lh_entorhinal_area,,lh_entorhinal_area,,,lh_entorhinal_area,lh_entorhinal_area,
Left Frontal Pole Area,,,,,,ST25SA,,,lh_frontalpole_area,,,ST25SA,lh_frontalpole_area,,,lh_frontalpole_area,lh_(frontalpole)SurfArea,,,lh_frontalpole_area,,lh_frontalpole_area,,,lh_frontalpole_area,lh_frontalpole_area,
Left Frontal Pole Thickness,,,,,,ST25TA,,lh_frontalpole_thickness,lh_frontalpole_thickness,,,ST25TA,lh_frontalpole_thickness,,,lh_frontalpole_thickness,lh_(frontalpole)ThickAvg,,,lh_frontalpole_thickness,,lh_frontalpole_thickness,,,lh_frontalpole_thickness,lh_frontalpole_thickness,
Left Fusiform Area,,,,,,ST26SA,,,lh_fusiform_area,,,ST26SA,lh_fusiform_area,,,lh_fusiform_area,lh_(fusiform)SurfArea,,,lh_fusiform_area,,lh_fusiform_area,,,lh_fusiform_area,lh_fusiform_area,
Left Inferior Parietal Area,,,,,,ST31SA,,,lh_inferiorparietal_area,,,ST31SA,lh_inferiorparietal_area,,,lh_inferiorparietal_area,lh_(inferiorparietal)SurfArea,,,lh_inferiorparietal_area,,lh_inferiorparietal_area,,,lh_inferiorparietal_area,lh_inferiorparietal_area,
Left Lateraloccipital Area,,,,,,ST35SA,,,lh_lateraloccipital_area,,,ST35SA,lh_lateraloccipital_area,,,lh_lateraloccipital_area,lh_(lateraloccipital)SurfArea,,,lh_lateraloccipital_area,,lh_lateraloccipital_area,,,lh_lateraloccipital_area,lh_lateraloccipital_area,
Left Lateral Orbitofrontal Cortical Mean,,,,,,ST36CV,,,lh_lateralorbitofrontal_volume,,,ST36CV,lh_lateralorbitofrontal_volume,,,lh_lateralorbitofrontal_volume,lh_(lateralorbitofrontal)GrayVol,,,lh_lateralorbitofrontal_volume,,lh_lateralorbitofrontal_volume,,,lh_lateralorbitofrontal_volume,lh_lateralorbitofrontal_volume,
Left Lateral Orbitofrontal Area,,,,,,ST36SA,,,lh_lateralorbitofrontal_area,,,ST36SA,lh_lateralorbitofrontal_area,,,lh_lateralorbitofrontal_area,lh_(lateralorbitofrontal)SurfArea,,,lh_lateralorbitofrontal_area,,lh_lateralorbitofrontal_area,,,lh_lateralorbitofrontal_area,lh_lateralorbitofrontal_area,
Left Lingual Area,,,,,,ST38SA,,,lh_lingual_area,,,ST38SA,lh_lingual_area,,,lh_lingual_area,lh_(lingual)SurfArea,,,lh_lingual_area,,lh_lingual_area,,,lh_lingual_area,lh_lingual_area,
Left Medialorbitofrontal Area,,,,,,ST39SA,,,lh_medialorbitofrontal_area,,,ST39SA,lh_medialorbitofrontal_area,,,lh_medialorbitofrontal_area,lh_(medialorbitofrontal)SurfArea,,,lh_medialorbitofrontal_area,,lh_medialorbitofrontal_area,,,lh_medialorbitofrontal_area,lh_medialorbitofrontal_area,
Left Middletemporal Area,,,,,,ST40SA,,,lh_middletemporal_area,,,ST40SA,lh_middletemporal_area,,,lh_middletemporal_area,lh_(middletemporal)SurfArea,,,lh_middletemporal_area,,lh_middletemporal_area,,,lh_middletemporal_area,lh_middletemporal_area,
Left Paracentral Area,,,,,,ST43SA,,,lh_paracentral_area,,,ST43SA,lh_paracentral_area,,,lh_paracentral_area,lh_(paracentral)SurfArea,,,lh_paracentral_area,,lh_paracentral_area,,,lh_paracentral_area,lh_paracentral_area,
Left Parahippocampal Area,,,,,,ST44SA,,,lh_parahippocampal_area,,,ST44SA,lh_parahippocampal_area,,,lh_parahippocampal_area,lh_(parahippocampal)SurfArea,,,lh_parahippocampal_area,,lh_parahippocampal_area,,,lh_parahippocampal_area,lh_parahippocampal_area,
Left Par Sopercularis Area,,,,,,ST45SA,,,lh_parsopercularis_area,,,ST45SA,lh_parsopercularis_area,,,lh_parsopercularis_area,lh_(parsopercularis)SurfArea,,,lh_parsopercularis_area,,lh_parsopercularis_area,,,lh_parsopercularis_area,lh_parsopercularis_area,
Left Pars Orbitalis Area,,,,,,ST46SA,,,lh_parsorbitalis_area,,,ST46SA,lh_parsorbitalis_area,,,lh_parsorbitalis_area,lh_(parsorbitalis)SurfArea,,,lh_parsorbitalis_area,,lh_parsorbitalis_area,,,lh_parsorbitalis_area,lh_parsorbitalis_area,
Left Pars Triangularis Area,,,,,,ST47SA,,,lh_parstriangularis_area,,,ST47SA,lh_parstriangularis_area,,,lh_parstriangularis_area,lh_(parstriangularis)SurfArea,,,lh_parstriangularis_area,,lh_parstriangularis_area,,,lh_parstriangularis_area,lh_parstriangularis_area,
Left Pericalcarine Area,,,,,,ST48SA,,,lh_pericalcarine_area,,,ST48SA,lh_pericalcarine_area,,,lh_pericalcarine_area,lh_(pericalcarine)SurfArea,,,lh_pericalcarine_area,,lh_pericalcarine_area,,,lh_pericalcarine_area,lh_pericalcarine_area,
Left Postcentral Area,,,,,,ST49SA,,,lh_postcentral_area,,,ST49SA,lh_postcentral_area,,,lh_postcentral_area,lh_(postcentral)SurfArea,,,lh_postcentral_area,,lh_postcentral_area,,,lh_postcentral_area,lh_postcentral_area,
Left Posteriorcingulate Area,,,,,,ST50SA,,,lh_posteriorcingulate_area,,,ST50SA,lh_posteriorcingulate_area,,,lh_posteriorcingulate_area,lh_(posteriorcingulate)SurfArea,,,lh_posteriorcingulate_area,,lh_posteriorcingulate_area,,,lh_posteriorcingulate_area,lh_posteriorcingulate_area,
Left Precentral Area,,,,,,ST51SA,,,lh_precentral_area,,,ST51SA,lh_precentral_area,,,lh_precentral_area,lh_(precentral)SurfArea,,,lh_precentral_area,,lh_precentral_area,,,lh_precentral_area,lh_precentral_area,
Left Precuneus Area,,,,,,ST52SA,,,lh_precuneus_area,,,ST52SA,lh_precuneus_area,,,lh_precuneus_area,lh_(precuneus)SurfArea,,,lh_precuneus_area,,lh_precuneus_area,,,lh_precuneus_area,lh_precuneus_area,
Left Rostral Anterior Cingulate Area,,,,,,ST54SA,,,lh_rostralanteriorcingulate_area,,,ST54SA,lh_rostralanteriorcingulate_area,,,lh_rostralanteriorcingulate_area,lh_(rostralanteriorcingulate)SurfArea,,,lh_rostralanteriorcingulate_area,,lh_rostralanteriorcingulate_area,,,lh_rostralanteriorcingulate_area,lh_rostralanteriorcingulate_area,
Left Rostral Middle Frontal Area,,,,,,ST55SA,,,lh_rostralmiddlefrontal_area,,,ST55SA,lh_rostralmiddlefrontal_area,,,lh_rostralmiddlefrontal_area,lh_(rostralmiddlefrontal)SurfArea,,,lh_rostralmiddlefrontal_area,,lh_rostralmiddlefrontal_area,,,lh_rostralmiddlefrontal_area,lh_rostralmiddlefrontal_area,
Left Superiorfrontal Area,,,,,,ST56SA,,,lh_superiorfrontal_area,,,ST56SA,lh_superiorfrontal_area,,,lh_superiorfrontal_area,lh_(superiorfrontal)SurfArea,,,lh_superiorfrontal_area,,lh_superiorfrontal_area,,,lh_superiorfrontal_area,lh_superiorfrontal_area,
Left Superiorparietal Area,,,,,,ST57SA,,,lh_superiorparietal_area,,,ST57SA,lh_superiorparietal_area,,,lh_superiorparietal_area,lh_(superiorparietal)SurfArea,,,lh_superiorparietal_area,,lh_superiorparietal_area,,,lh_superiorparietal_area,lh_superiorparietal_area,
Left Superiortemporal Area,,,,,,ST58SA,,,lh_superiortemporal_area,,,ST58SA,lh_superiortemporal_area,,,lh_superiortemporal_area,lh_(superiortemporal)SurfArea,,,lh_superiortemporal_area,,lh_superiortemporal_area,,,lh_superiortemporal_area,lh_superiortemporal_area,
Left Supramarginal Area,,,,,,ST59SA,,,lh_supramarginal_area,,,ST59SA,lh_supramarginal_area,,,lh_supramarginal_area,lh_(supramarginal)SurfArea,,,lh_supramarginal_area,,lh_supramarginal_area,,,lh_supramarginal_area,lh_supramarginal_area,
Left Temporal Pole Area,,,,,,ST60SA,,,lh_temporalpole_area,,,ST60SA,lh_temporalpole_area,,,lh_temporalpole_area,lh_(temporalpole)SurfArea,,,lh_temporalpole_area,,lh_temporalpole_area,,,lh_temporalpole_area,lh_temporalpole_area,
Left Temporal Pole Thickness,,,,,,ST60TA,,lh_temporalpole_thickness,lh_temporalpole_thickness,,,ST60TA,lh_temporalpole_thickness,,,lh_temporalpole_thickness,lh_(temporalpole)ThickAvg,,,lh_temporalpole_thickness,,lh_temporalpole_thickness,,,lh_temporalpole_thickness,lh_temporalpole_thickness,
Left Transverse Temporal Area,,,,,,ST62SA,,,lh_transversetemporal_area,,,ST62SA,lh_transversetemporal_area,,,lh_transversetemporal_area,lh_(transversetemporal)SurfArea,,,lh_transversetemporal_area,,lh_transversetemporal_area,,,lh_transversetemporal_area,lh_transversetemporal_area,
Non-White-matter-hypointensities,,,,,,ST68SV,,non-WM-hypointensities,non-WM-hypointensities,,,ST68SV,non-WM-hypointensities,,,non-WM-hypointensities,(non-WM-hypointensities)Volume_mm3,,,non-WM-hypointensities,,non-WM-hypointensities,,,non-WM-hypointensities,non-WM-hypointensities,
Optic Chiasm Volume,,,,,,ST69SV,,Optic-Chiasm,Optic-Chiasm,,,ST69SV,Optic-Chiasm,,,Optic-Chiasm,(Optic-Chiasm)Volume_mm3,,,Optic-Chiasm,,Optic-Chiasm,,,Optic-Chiasm,Optic-Chiasm,
Right Banks Of The Superior Temoral Sulcus Volume,,EFO:0010286,,,,ST72CV,,,rh_bankssts_volume,,,ST72CV,rh_bankssts_volume,,,rh_bankssts_volume,rh_(bankssts)GrayVol,,,rh_bankssts_volume,,rh_bankssts_volume,,,rh_bankssts_volume,rh_bankssts_volume,
Right Banks Of The Superior Temoral Sulcus Thickness,,UBERON:0028622,,,,ST72TA,,rh_bankssts_thickness,rh_bankssts_thickness,,,ST72TA,rh_bankssts_thickness,,,rh_bankssts_thickness,rh_(bankssts)ThickAvg,,,rh_bankssts_thickness,,rh_bankssts_thickness,,,rh_bankssts_thickness,rh_bankssts_thickness,
Right Banks Of The Superior Temoral Sulcus Area,,UBERON:0028622,,,,ST72SA,,,rh_bankssts_area,,,ST72SA,rh_bankssts_area,,,rh_bankssts_area,rh_(bankssts)SurfArea,,,rh_bankssts_area,,rh_bankssts_area,,,rh_bankssts_area,rh_bankssts_area,
Right Caudal Anterior Cingulate Volume,,EFO:0010289,,,,ST73CV,,,rh_caudalanteriorcingulate_volume,,,ST73CV,rh_caudalanteriorcingulate_volume,,,rh_caudalanteriorcingulate_volume,rh_(caudalanteriorcingulate)GrayVol,,,rh_caudalanteriorcingulate_volume,,rh_caudalanteriorcingulate_volume,,,rh_caudalanteriorcingulate_volume,rh_caudalanteriorcingulate_volume,
Right Caudal Anterior Cingulate Area,,,,,,ST73SA,,,rh_caudalanteriorcingulate_area,,,ST73SA,rh_caudalanteriorcingulate_area,,,rh_caudalanteriorcingulate_area,rh_(caudalanteriorcingulate)SurfArea,,,rh_caudalanteriorcingulate_area,,rh_caudalanteriorcingulate_area,,,rh_caudalanteriorcingulate_area,rh_caudalanteriorcingulate_area,
Right Caudal Middle Frontal Area,,,,,,ST74SA,,,rh_caudalmiddlefrontal_area,,,ST74SA,rh_caudalmiddlefrontal_area,,,rh_caudalmiddlefrontal_area,rh_(caudalmiddlefrontal)SurfArea,,,rh_caudalmiddlefrontal_area,,rh_caudalmiddlefrontal_area,,,rh_caudalmiddlefrontal_area,rh_caudalmiddlefrontal_area,
Right Cuneus Area,,,,,,ST82SA,,,rh_cuneus_area,,,ST82SA,rh_cuneus_area,,,rh_cuneus_area,rh_(cuneus)SurfArea,,,rh_cuneus_area,,rh_cuneus_area,,,rh_cuneus_area,rh_cuneus_area,
Right Entorightinal Area,,,,,,ST83SA,,,rh_entorhinal_area,,,ST83SA,rh_entorhinal_area,,,rh_entorhinal_area,rh_(entorhinal)SurfArea,,,rh_entorhinal_area,,rh_entorhinal_area,,,rh_entorhinal_area,rh_entorhinal_area,
Right Frontal Pole Thickness,,,,,,ST84TA,,rh_frontalpole_thickness,rh_frontalpole_thickness,,,ST84TA,rh_frontalpole_thickness,,,rh_frontalpole_thickness,rh_(frontalpole)ThickAvg,,,rh_frontalpole_thickness,,rh_frontalpole_thickness,,,rh_frontalpole_thickness,rh_frontalpole_thickness,
Right Frontalpole Area,,,,,,ST84SA,,,rh_frontalpole_area,,,ST84SA,rh_frontalpole_area,,,rh_frontalpole_area,rh_(frontalpole)SurfArea,,,rh_frontalpole_area,,rh_frontalpole_area,,,rh_frontalpole_area,rh_frontalpole_area,
Right Fusiform Area,,,,,,ST85SA,,,rh_fusiform_area,,,ST85SA,rh_fusiform_area,,,rh_fusiform_area,rh_(fusiform)SurfArea,,,rh_fusiform_area,,rh_fusiform_area,,,rh_fusiform_area,rh_fusiform_area,
Right Inferior Parietal Area,,,,,,ST90SA,,,rh_inferiorparietal_area,,,ST90SA,rh_inferiorparietal_area,,,rh_inferiorparietal_area,rh_(inferiorparietal)SurfArea,,,rh_inferiorparietal_area,,rh_inferiorparietal_area,,,rh_inferiorparietal_area,rh_inferiorparietal_area,
Right Inferior Temporal Area,,,,,,ST91SA,,,rh_inferiortemporal_area,,,ST91SA,rh_inferiortemporal_area,,,rh_inferiortemporal_area,rh_(inferiortemporal)SurfArea,,,rh_inferiortemporal_area,,rh_inferiortemporal_area,,,rh_inferiortemporal_area,rh_inferiortemporal_area,
Left Inferior Temporal Area,,,,,,ST32SA,,,lh_inferiortemporal_area,,,ST32SA,lh_inferiortemporal_area,,,lh_inferiortemporal_area,lh_(inferiortemporal)SurfArea,,,lh_inferiortemporal_area,,lh_inferiortemporal_area,,,lh_inferiortemporal_area,lh_inferiortemporal_area,
Right Isthmuscingulate Volume,,EFO:0010310,,,,ST93CV,,,rh_isthmuscingulate_volume,,,ST93CV,rh_isthmuscingulate_volume,,,rh_isthmuscingulate_volume,rh_(isthmuscingulate)GrayVol,,,rh_isthmuscingulate_volume,,rh_isthmuscingulate_volume,,,rh_isthmuscingulate_volume,rh_isthmuscingulate_volume,
Left Isthmus Cingulate Area,,EFO:0010310,,,,ST34SA,,,lh_isthmuscingulate_area,,,ST34SA,lh_isthmuscingulate_area,,,lh_isthmuscingulate_area,lh_(isthmuscingulate)SurfArea,,,lh_isthmuscingulate_area,,lh_isthmuscingulate_area,,,lh_isthmuscingulate_area,lh_isthmuscingulate_area,
Right Lateraloccipital Area,,,,,,ST94SA,,,rh_lateraloccipital_area,,,ST94SA,rh_lateraloccipital_area,,,rh_lateraloccipital_area,rh_(lateraloccipital)SurfArea,,,rh_lateraloccipital_area,,rh_lateraloccipital_area,,,rh_lateraloccipital_area,rh_lateraloccipital_area,
Right Lateralorbitofrontal Area,,,,,,ST95SA,,,rh_lateralorbitofrontal_area,,,ST95SA,rh_lateralorbitofrontal_area,,,rh_lateralorbitofrontal_area,rh_(lateralorbitofrontal)SurfArea,,,rh_lateralorbitofrontal_area,,rh_lateralorbitofrontal_area,,,rh_lateralorbitofrontal_area,rh_lateralorbitofrontal_area,
Right Lateralorbitofrontal Volume,,EFO:0010312,,,,ST95CV,,,rh_lateralorbitofrontal_volume,,,ST95CV,rh_lateralorbitofrontal_volume,,,rh_lateralorbitofrontal_volume,rh_(lateralorbitofrontal)GrayVol,,,rh_lateralorbitofrontal_volume,,rh_lateralorbitofrontal_volume,,,rh_lateralorbitofrontal_volume,rh_lateralorbitofrontal_volume,
Right Lingual Area,,,,,,ST97SA,,,rh_lingual_area,,,ST97SA,rh_lingual_area,,,rh_lingual_area,rh_(lingual)SurfArea,,,rh_lingual_area,,rh_lingual_area,,,rh_lingual_area,rh_lingual_area,
Right Medialorbitofrontal Area,,,,,,ST98SA,,,rh_medialorbitofrontal_area,,,ST98SA,rh_medialorbitofrontal_area,,,rh_medialorbitofrontal_area,rh_(medialorbitofrontal)SurfArea,,,rh_medialorbitofrontal_area,,rh_medialorbitofrontal_area,,,rh_medialorbitofrontal_area,rh_medialorbitofrontal_area,
Right Middletemporal Area,,,,,,ST99SA,,,rh_middletemporal_area,,,ST99SA,rh_middletemporal_area,,,rh_middletemporal_area,rh_(middletemporal)SurfArea,,,rh_middletemporal_area,,rh_middletemporal_area,,,rh_middletemporal_area,rh_middletemporal_area,
Left Sulcus Calcarine Volume,,NCIT:C32252,,,,,,,lh_S_calcarine_volume,,,,lh_S_calcarine_volume,,llcalcv,lh_S_calcarine_volume,(S_calcarine)GrayVol,,,lh_S_calcarine_volume,,lh_S_calcarine_volume,,,lh_S_calcarine_volume,lh_S_calcarine_volume,
Right Sulcus Calcarine Volume,,NCIT:C32252,,,,,,,rh_S_calcarine_volume,,,,rh_S_calcarine_volume,,lrcalcv,rh_S_calcarine_volume,(S_calcarine)GrayVol,,,rh_S_calcarine_volume,,rh_S_calcarine_volume,,,rh_S_calcarine_volume,rh_S_calcarine_volume,
CC Posterior From Qdec Aseg,,EFO:0010298,,,,,,CC_Posterior,CC_Posterior,,,,CC_Posterior,,,CC_Posterior,(CC_Posterior)Volume_mm3,,,CC_Posterior,,CC_Posterior,,,CC_Posterior,CC_Posterior,
CC Mid Posterior From Qdec Aseg,,,,,,,,CC_Mid_Posterior,CC_Mid_Posterior,,,,CC_Mid_Posterior,,,CC_Mid_Posterior,(CC_Mid_Posterior)Volume_mm3,,,CC_Mid_Posterior,,CC_Mid_Posterior,,,CC_Mid_Posterior,CC_Mid_Posterior,
CC Central From Qdec Aseg,,EFO:0010296,,,,,,CC_Central,CC_Central,,,,CC_Central,,,CC_Central,(CC_Central)Volume_mm3,,,CC_Central,,CC_Central,,,CC_Central,CC_Central,
CC Mid Anterior From Qdec Aseg,,,,,,,,CC_Mid_Anterior,CC_Mid_Anterior,,,,CC_Mid_Anterior,,,CC_Mid_Anterior,(CC_Mid_Anterior)Volume_mm3,,,CC_Mid_Anterior,,CC_Mid_Anterior,,,CC_Mid_Anterior,CC_Mid_Anterior,
CC Anterior From Qdec Aseg,,EFO:0010295,,,,,,CC_Anterior,CC_Anterior,,,,CC_Anterior,,,CC_Anterior,(CC_Anterior)Volume_mm3,,,CC_Anterior,,CC_Anterior,,,CC_Anterior,CC_Anterior,
BrainSegVol From Qdec Aseg,,,,,,,,BrainSegVol,BrainSegVol,,,,BrainSegVol,,,BrainSegVol,,,,BrainSegVol,,BrainSegVol,,,BrainSegVol,BrainSegVol,
BrainSegVolNotVent From Qdec Aseg,,,,,,,,BrainSegVolNotVent,BrainSegVolNotVent,,,,BrainSegVolNotVent,,,BrainSegVolNotVent,,,,BrainSegVolNotVent,,BrainSegVolNotVent,,,BrainSegVolNotVent,BrainSegVolNotVent,
BrainSegVolNotVentSurf From Qdec Aseg,,,,,,,,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,,,,BrainSegVolNotVentSurf,,,BrainSegVolNotVentSurf,,,,BrainSegVolNotVentSurf,,BrainSegVolNotVentSurf,,,BrainSegVolNotVentSurf,BrainSegVolNotVentSurf,
LeftCortexVol From Qdec Aseg,,EFO:0010292,,,,,,lhCortexVol,lhCortexVol,,,,lhCortexVol,,,lhCortexVol,lhCortexVol,,,lhCortexVol,,lhCortexVol,,,lhCortexVol,lhCortexVol,
RightCortexVol From Qdec Aseg,,EFO:0010292,,,,,,rhCortexVol,rhCortexVol,,,,rhCortexVol,,,rhCortexVol,rhCortexVol,,,rhCortexVol,,rhCortexVol,,,rhCortexVol,rhCortexVol,
CortexVol From Qdec Aseg,,EFO:0010292,,,,,,CortexVol,CortexVol,,,,CortexVol,,,CortexVol,CortexVol,,,CortexVol,,CortexVol,,,CortexVol,CortexVol,
SubCortGrayVol From Qdec Aseg,,NCIT:C165870,,,,ST153SV,,SubCortGrayVol,SubCortGrayVol,,,ST153SV,SubCortGrayVol,,,SubCortGrayVol,SubCortGrayVol,,,SubCortGrayVol,,SubCortGrayVol,,,SubCortGrayVol,SubCortGrayVol,
TotalGrayVol From Qdec Aseg,,EFO:0010292,,,,,,TotalGrayVol,TotalGrayVol,,,,TotalGrayVol,,,TotalGrayVol,,,,TotalGrayVol,,TotalGrayVol,,,TotalGrayVol,TotalGrayVol,
SupraTentorialVol From Qdec Aseg,,NCIT:C12923,,,,,,SupraTentorialVol,SupraTentorialVol,,,,SupraTentorialVol,,,SupraTentorialVol,SupraTentorialVol,,,SupraTentorialVol,,SupraTentorialVol,,,SupraTentorialVol,SupraTentorialVol,
SupraTentorialVolNotVent From Qdec Aseg,,,,,,,,SupraTentorialVolNotVent,SupraTentorialVolNotVent,,,,SupraTentorialVolNotVent,,,SupraTentorialVolNotVent,,,,SupraTentorialVolNotVent,,SupraTentorialVolNotVent,,,SupraTentorialVolNotVent,SupraTentorialVolNotVent,
SupraTentorialVolNotVentVox From Qdec Aseg,,,,,,,,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,,,,SupraTentorialVolNotVentVox,,,SupraTentorialVolNotVentVox,,,,SupraTentorialVolNotVentVox,,SupraTentorialVolNotVentVox,,,SupraTentorialVolNotVentVox,SupraTentorialVolNotVentVox,
MaskVol From Qdec Aseg,,,,,,,,MaskVol,MaskVol,,,,MaskVol,,,MaskVol,,,,MaskVol,,MaskVol,,,MaskVol,MaskVol,
BrainSegVol-to-eTIV From Qdec Aseg,,,,,,,,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,,,,BrainSegVol-to-eTIV,,,BrainSegVol-to-eTIV,,,,BrainSegVol-to-eTIV,,BrainSegVol-to-eTIV,,,BrainSegVol-to-eTIV,BrainSegVol-to-eTIV,
MaskVol-to-eTIV From Qdec Aseg,,,,,,,,MaskVol-to-eTIV,MaskVol-to-eTIV,,,,MaskVol-to-eTIV,,,MaskVol-to-eTIV,,,,MaskVol-to-eTIV,,MaskVol-to-eTIV,,,MaskVol-to-eTIV,MaskVol-to-eTIV,
Left SurfaceHoles From Qdec Aseg,,,,,,,,lhSurfaceHoles,lhSurfaceHoles,,,,lhSurfaceHoles,,,lhSurfaceHoles,,,,lhSurfaceHoles,,lhSurfaceHoles,,,lhSurfaceHoles,lhSurfaceHoles,
Right SurfaceHoles From Qdec Aseg,,,,,,,,rhSurfaceHoles,rhSurfaceHoles,,,,rhSurfaceHoles,,,rhSurfaceHoles,,,,rhSurfaceHoles,,rhSurfaceHoles,,,rhSurfaceHoles,rhSurfaceHoles,
SurfaceHoles From Qdec Aseg,,,,,,,,SurfaceHoles,SurfaceHoles,,,,SurfaceHoles,,,SurfaceHoles,,,,SurfaceHoles,,SurfaceHoles,,,SurfaceHoles,SurfaceHoles,
Left Gyrus And Sulcus Frontomargin Area From Qdec,,,,,,,,,lh_G_and_S_frontomargin_area,,,,lh_G_and_S_frontomargin_area,,,lh_G_and_S_frontomargin_area,(G_and_S_frontomargin)SurfArea,,,lh_G_and_S_frontomargin_area,,lh_G_and_S_frontomargin_area,,,lh_G_and_S_frontomargin_area,lh_G_and_S_frontomargin_area,
Left Gyrus And Sulcus Occipital Inferior Area From Qdec,,,,,,,,,lh_G_and_S_occipital_inf_area,,,,lh_G_and_S_occipital_inf_area,,,lh_G_and_S_occipital_inf_area,(G_and_S_occipital_inf)SurfArea,,,lh_G_and_S_occipital_inf_area,,lh_G_and_S_occipital_inf_area,,,lh_G_and_S_occipital_inf_area,lh_G_and_S_occipital_inf_area,
Left Gyrus And Sulcus Subcentral Area From Qdec,,,,,,,,,lh_G_and_S_subcentral_area,,,,lh_G_and_S_subcentral_area,,,lh_G_and_S_subcentral_area,(G_and_S_subcentral)SurfArea,,,lh_G_and_S_subcentral_area,,lh_G_and_S_subcentral_area,,,lh_G_and_S_subcentral_area,lh_G_and_S_subcentral_area,
Left Gyrus And Sulcus Transv Frontopol Area From Qdec,,,,,,,,,lh_G_and_S_transv_frontopol_area,,,,lh_G_and_S_transv_frontopol_area,,,lh_G_and_S_transv_frontopol_area,(G_and_S_transv_frontopol)SurfArea,,,lh_G_and_S_transv_frontopol_area,,lh_G_and_S_transv_frontopol_area,,,lh_G_and_S_transv_frontopol_area,lh_G_and_S_transv_frontopol_area,
Left Gyrus And Sulcus Cingul-Ant Area From Qdec,,,,,,,,,lh_G_and_S_cingul-Ant_area,,,,lh_G_and_S_cingul-Ant_area,,,lh_G_and_S_cingul-Ant_area,(G_and_S_cingul-Ant)SurfArea,,,lh_G_and_S_cingul-Ant_area,,lh_G_and_S_cingul-Ant_area,,,lh_G_and_S_cingul-Ant_area,lh_G_and_S_cingul-Ant_area,
Left Gyrus And Sulcus Cingul-Mid-Ant Area From Qdec,,,,,,,,,lh_G_and_S_cingul-Mid-Ant_area,,,,lh_G_and_S_cingul-Mid-Ant_area,,,lh_G_and_S_cingul-Mid-Ant_area,(G_and_S_cingul-Mid-Ant)SurfArea,,,lh_G_and_S_cingul-Mid-Ant_area,,lh_G_and_S_cingul-Mid-Ant_area,,,lh_G_and_S_cingul-Mid-Ant_area,lh_G_and_S_cingul-Mid-Ant_area,
Left Gyrus And Sulcus Cingul-Mid-Post Area From Qdec,,,,,,,,,lh_G_and_S_cingul-Mid-Post_area,,,,lh_G_and_S_cingul-Mid-Post_area,,,lh_G_and_S_cingul-Mid-Post_area,(G_and_S_cingul-Mid-Post)SurfArea,,,lh_G_and_S_cingul-Mid-Post_area,,lh_G_and_S_cingul-Mid-Post_area,,,lh_G_and_S_cingul-Mid-Post_area,lh_G_and_S_cingul-Mid-Post_area,
Left Gyrus Cingul-Post-dorsal Area From Qdec,,,,,,,,,lh_G_cingul-Post-dorsal_area,,,,lh_G_cingul-Post-dorsal_area,,,lh_G_cingul-Post-dorsal_area,(G_cingul-Post-dorsal)SurfArea,,,lh_G_cingul-Post-dorsal_area,,lh_G_cingul-Post-dorsal_area,,,lh_G_cingul-Post-dorsal_area,lh_G_cingul-Post-dorsal_area,
